name,latitude,longitude
Trotter Hall, 39.906428, -75.353947
Pearson Hall, 39.906478, -75.353851
Hicks Hall, 39.906478, -75.353851
Beardsley Hall, 39.906478, -75.353851
Papazian Hall, 39.906478, -75.353851
Kohlberg Hall, 39.906478, -75.353851
Lang Performing Arts Center, 39.906478, -75.353851
Martin Biological Laboratory, 39.905883, -75.355745
Science Center, 39.905883, -75.355745
Parrish Hall, 39.905182, -75.354169
Clothier Hall, 39.904381, -75.354761
Bookstore, 39.904261, -75.354889
Essie Mae's, 39.904193, -75.355113
Sproul Alumni House, 39.904193, -75.355113
Wharton Hall, 39.904193, -75.355113
Hallowell, 39.904193, -75.355113
Olde Club, 39.904193, -75.355113
Kitao Art Gallery, 39.904193, -75.355113
Phi Psi, 39.902829, -75.354524
Delta Upsilon, 39.902829, -75.354524
Sharples Dining Hall, 39.902829, -75.354524
Old Tarble, 39.904495, -75.352027
Worth Health Center, 39.904495, -75.351378
McCabe Library, 39.904495, -75.351378
The Barn, 39.900866, -75.352888
Benjamin West House, 39.905123, -75.351419
Black Cultural Center (Robinson House), 39.906953, -75.351480
Bond Memorial Hall, 39.905430, -75.350847
Cornell Library, 39.906251, -75.356222
Faulkner Tennis Courts, 39.902987, -75.355744
Intercultural Center, 39.904019, -75.354701
Lamb-Miller Field House, 39.901264, -75.354198
Lang Center, 39.908173, -75.353970
Lang Music Building, 39.905402, -75.356226
The Matchbox, 39.901375, -75.355254
Ware Pool, 39.901095, -75.355263
Mullan Tennis Center, 39.900585, -75.355231
Scott Outdoor Amphitheater, 39.904425, -75.355834
Friends Meetinghouse, 39.907399, -75.353206
Tarble Pavilion, 39.901052, -75.353547
