name,latitude,longitude
Trotter Hall, 39.906419, -75.353973
Pearson Hall, 39.906879, -75.353657
Business Office (Pearson Hall), 39.906869, -75.353623
Human Resources (Pearson Hall), 39.906869, -75.353623
Hicks Hall, 39.906884, -75.354389
Beardsley Hall, 39.906462, -75.354768
ITS Help Desk (Beardsley Hall), 39.906462, -75.354768
Papazian Hall, 39.907308, -75.353977
Kohlberg Hall, 39.905877, -75.354855
Lang Performing Arts Center, 39.905369, -75.355483
List Gallery (LPAC), 39.905336, -75.355429
Martin Biological Laboratory, 39.905883, -75.355745
Science Center, 39.905883, -75.355745
Parrish Hall, 39.905182, -75.354169
Shane Lounge, 39.905300, -75.354375
Admissions Office (Parrish Hall - 2nd Floor), 39.905182, -75.354169
Office of Student Engagement (Parrish Hall - Ground Floor), 39.905182, -75.354169
Dean's Office (Parrish Hall - Ground Floor), 39.905182, -75.354169
Clothier Hall, 39.904381, -75.354761
Upper Tarble (Clothier Hall - 2nd Floor), 39.904381, -75.354761
Bookstore, 39.904261, -75.354889
Essie Mae's, 39.904161, -75.355200
Sproul Alumni House, 39.903875, -75.355251
Olde Club, 39.902601, -75.355417
Kitao Art Gallery, 39.902780, -75.355143
Phi Psi, 39.902821, -75.354537
Delta Upsilon, 39.902868, -75.354886
Sharples Dining Hall, 39.903329, -75.353821
Old Tarble, 39.904495, -75.352027
Worth Health Center, 39.904495, -75.351378
McCabe Library, 39.905346, -75.352781
The Barn, 39.900866, -75.352888
Benjamin West House, 39.905123, -75.351419
Black Cultural Center (Robinson House), 39.906953, -75.351480
Bond Memorial Hall, 39.905430, -75.350847
Cornell Library, 39.906251, -75.356222
Faulkner Tennis Courts, 39.902987, -75.355744
Intercultural Center, 39.904019, -75.354701
Lamb-Miller Field House, 39.901264, -75.354198
Lang Center for Civic & Social Responsibility, 39.908173, -75.353970
Lang Music Building, 39.905402, -75.356226
The Matchbox, 39.901375, -75.355254
Ware Pool, 39.901095, -75.355263
Mullan Tennis Center, 39.900585, -75.355231
Scott Outdoor Amphitheater, 39.904425, -75.355834
Friends Meetinghouse, 39.907399, -75.353206
Tarble Pavilion, 39.901052, -75.353547
Dana Hall, 39.903170, -75.357146
Danawell Hall, 39.903369, -75.357257
David Kemp Hall, 39.903545, -75.351021
Alice Paul Hall, 39.903360, -75.350846
Mertz Hall, 39.903842, -75.351478
Willets Hall, 39.905897, -75.351686
The Lodges, 39.905714, -75.350681
Worth Hall, 39.906098, -75.350987
Kyle House, 39.908689, -75.353650
Mary Lyon (ML) Hall, 39.895592, -75.353998
Strath Haven Condominiums, 39.896896, -75.354774
Palmer Hall, 39.900170, -75.351527
Pittinger Hall, 39.899900, -75.351481
Roberts Hall, 39.899451, -75.351784
Woolman House, 39.909690, -75.354267
Hallowell Hall, 39.903553, -75.357198
Wharton Hall, 39.903685, -75.356257
Friends Historical Library, 39.905409, -75.352982
Underhill Library, 39.905608, -75.356360
List Gallery, 39.905221, -75.355233
Peter van de Kamp Observatory, 39.906968, -75.355399
Scheuer Room, 39.905607, -75.354944
Science Center Coffee Bar, 39.906648, -75.355604
Sproul Alumni House, 39.903861, -75.355271
Key Central, 39.901877, -75.353080
